SMT Query ID ,VC Name
        3840 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5157:7: lemmaInListMapThenSeekEntryFinds (body assertion: Inlined precondition (2/5) of lemmaArrayForallSeekEntryOrOpenFoundFromSmallerThenFromBigger)
        3841 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5157:7: lemmaInListMapThenSeekEntryFinds (body assertion: Inlined precondition (3/5) of lemmaArrayForallSeekEntryOrOpenFoundFromSmallerThenFromBigger)
        3842 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5157:7: lemmaInListMapThenSeekEntryFinds (body assertion: Inlined precondition (4/5) of lemmaArrayForallSeekEntryOrOpenFoundFromSmallerThenFromBigger)
        3843 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5157:7: lemmaInListMapThenSeekEntryFinds (body assertion: Inlined precondition (5/5) of lemmaArrayForallSeekEntryOrOpenFoundFromSmallerThenFromBigger)
        3844 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5157:7: lemmaInListMapThenSeekEntryFinds (precond. (call lemmaArrayForallSeekEntryOrOpenFoundF... (require 1/5)))
        3845 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5157:7: lemmaInListMapThenSeekEntryFinds (precond. (call lemmaArrayForallSeekEntryOrOpenFoundF... (require 2/5)))
        3846 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5157:7: lemmaInListMapThenSeekEntryFinds (precond. (call lemmaArrayForallSeekEntryOrOpenFoundF... (require 3/5)))
        3847 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5157:7: lemmaInListMapThenSeekEntryFinds (precond. (call lemmaArrayForallSeekEntryOrOpenFoundF... (require 4/5)))
        3848 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5157:7: lemmaInListMapThenSeekEntryFinds (precond. (call lemmaArrayForallSeekEntryOrOpenFoundF... (require 5/5)))
        3849 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5158:7: lemmaInListMapThenSeekEntryFinds (body assertion: Inlined precondition (1/5) of lemmaSeekEntryOrOpenFindsThenSeekEntryFinds)
        3850 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5158:7: lemmaInListMapThenSeekEntryFinds (body assertion: Inlined precondition (2/5) of lemmaSeekEntryOrOpenFindsThenSeekEntryFinds)
        3851 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5158:7: lemmaInListMapThenSeekEntryFinds (body assertion: Inlined precondition (3/5) of lemmaSeekEntryOrOpenFindsThenSeekEntryFinds)
        3852 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5158:7: lemmaInListMapThenSeekEntryFinds (body assertion: Inlined precondition (4/5) of lemmaSeekEntryOrOpenFindsThenSeekEntryFinds)
        3853 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5158:7: lemmaInListMapThenSeekEntryFinds (body assertion: Inlined precondition (5/5) of lemmaSeekEntryOrOpenFindsThenSeekEntryFinds)
        3854 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5158:7: lemmaInListMapThenSeekEntryFinds (precond. (call lemmaSeekEntryOrOpenFindsThenSeekEntr... (require 1/5)))
        3855 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5158:7: lemmaInListMapThenSeekEntryFinds (precond. (call lemmaSeekEntryOrOpenFindsThenSeekEntr... (require 2/5)))
        3856 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5158:7: lemmaInListMapThenSeekEntryFinds (precond. (call lemmaSeekEntryOrOpenFindsThenSeekEntr... (require 3/5)))
        3857 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5158:7: lemmaInListMapThenSeekEntryFinds (precond. (call lemmaSeekEntryOrOpenFindsThenSeekEntr... (require 4/5)))
        3858 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5158:7: lemmaInListMapThenSeekEntryFinds (precond. (call lemmaSeekEntryOrOpenFindsThenSeekEntr... (require 5/5)))
        3859 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5161:8: lemmaInListMapThenSeekEntryFinds (postcondition)
        3860 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5161:8: lemmaInListMapThenSeekEntryFinds (precond. (call seekEntry(k, _keys, mask) (require 1/3)))"
        3861 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5161:8: lemmaInListMapThenSeekEntryFinds (precond. (call seekEntry(k, _keys, mask) (require 2/3)))"
        3862 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5161:8: lemmaInListMapThenSeekEntryFinds (precond. (call seekEntry(k, _keys, mask) (require 3/3)))"
        3863 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5162:60: lemmaInListMapThenSeekEntryFinds (array index within bounds)
        3864 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:647:17: lemmaInListMapThenSeekEntryOrOpenFindsIt (array index within bounds)
        3865 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:647:17: lemmaInListMapThenSeekEntryOrOpenFindsIt (postcondition)
        3866 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5259:15: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call arrayForallSeekEntryOrOpenFound(0, _k... (require 2/4)))"
        3867 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5259:15: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call arrayForallSeekEntryOrOpenFound(0, _k... (require 4/4)))"
        3868 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5260:15: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call arrayNoDuplicates(_keys, 0, arrayNoDu... (require 1/4)))"
        3869 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5260:15: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call arrayNoDuplicates(_keys, 0, arrayNoDu... (require 2/4)))"
        3870 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5260:15: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call arrayNoDuplicates(_keys, 0, arrayNoDu... (require 3/4)))"
        3871 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5260:15: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call arrayNoDuplicates(_keys, 0, arrayNoDu... (require 4/4)))"
        3872 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5262:9: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call getCurrentListMap[V](_keys, _values, ... (require 1/9)))"
        3873 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5262:9: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call getCurrentListMap[V](_keys, _values, ... (require 2/9)))"
        3874 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5262:9: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call getCurrentListMap[V](_keys, _values, ... (require 3/9)))"
        3875 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5262:9: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call getCurrentListMap[V](_keys, _values, ... (require 4/9)))"
        3876 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5262:9: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call getCurrentListMap[V](_keys, _values, ... (require 5/9)))"
        3877 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5262:9: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call getCurrentListMap[V](_keys, _values, ... (require 6/9)))"
        3878 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5262:9: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call getCurrentListMap[V](_keys, _values, ... (require 7/9)))"
        3879 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5262:9: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call getCurrentListMap[V](_keys, _values, ... (require 8/9)))"
        3880 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5262:9: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call getCurrentListMap[V](_keys, _values, ... (require 9/9)))"
        3881 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (1/9) of lemmaKeyInListMapIsInArray)
        3882 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (2/9) of lemmaKeyInListMapIsInArray)
        3883 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (3/9) of lemmaKeyInListMapIsInArray)
        3884 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (4/9) of lemmaKeyInListMapIsInArray)
        3885 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (5/9) of lemmaKeyInListMapIsInArray)
        3886 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (6/9) of lemmaKeyInListMapIsInArray)
        3887 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (7/9) of lemmaKeyInListMapIsInArray)
        3888 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (8/9) of lemmaKeyInListMapIsInArray)
        3889 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (9/9) of lemmaKeyInListMapIsInArray)
        3890 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaKeyInListMapIsInArray[V](_keys, ... (require 1/9)))"
        3891 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaKeyInListMapIsInArray[V](_keys, ... (require 2/9)))"
        3892 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaKeyInListMapIsInArray[V](_keys, ... (require 3/9)))"
        3893 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaKeyInListMapIsInArray[V](_keys, ... (require 4/9)))"
        3894 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaKeyInListMapIsInArray[V](_keys, ... (require 5/9)))"
        3895 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaKeyInListMapIsInArray[V](_keys, ... (require 6/9)))"
        3896 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaKeyInListMapIsInArray[V](_keys, ... (require 7/9)))"
        3897 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaKeyInListMapIsInArray[V](_keys, ... (require 8/9)))"
        3898 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5267:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaKeyInListMapIsInArray[V](_keys, ... (require 9/9)))"
        3899 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5277:15: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call arrayScanForKey(_keys, k, 0) (require 1/2)))"
        3900 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5277:15: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call arrayScanForKey(_keys, k, 0) (require 2/2)))"
        3901 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5278:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (1/5) of lemmaArrayForallSeekEntryOrOpenFoundFromSmallerThenFromBigger)
        3902 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5278:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (2/5) of lemmaArrayForallSeekEntryOrOpenFoundFromSmallerThenFromBigger)
        3903 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5278:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (3/5) of lemmaArrayForallSeekEntryOrOpenFoundFromSmallerThenFromBigger)
        3904 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5278:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (4/5) of lemmaArrayForallSeekEntryOrOpenFoundFromSmallerThenFromBigger)
        3905 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5278:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion: Inlined precondition (5/5) of lemmaArrayForallSeekEntryOrOpenFoundFromSmallerThenFromBigger)
        3906 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5278:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaArrayForallSeekEntryOrOpenFoundF... (require 1/5)))
        3907 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5278:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaArrayForallSeekEntryOrOpenFoundF... (require 2/5)))
        3908 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5278:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaArrayForallSeekEntryOrOpenFoundF... (require 3/5)))
        3909 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5278:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaArrayForallSeekEntryOrOpenFoundF... (require 4/5)))
        3910 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5278:7: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call lemmaArrayForallSeekEntryOrOpenFoundF... (require 5/5)))
        3911 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5279:14: lemmaInListMapThenSeekEntryOrOpenFindsIt (body assertion)
        3912 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5279:14: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call arrayForallSeekEntryOrOpenFound(i, _k... (require 1/4)))"
        3913 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5279:14: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call arrayForallSeekEntryOrOpenFound(i, _k... (require 2/4)))"
        3914 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5279:14: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call arrayForallSeekEntryOrOpenFound(i, _k... (require 3/4)))"
        3915 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5279:14: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call arrayForallSeekEntryOrOpenFound(i, _k... (require 4/4)))"
        3916 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5282:8: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call seekEntryOrOpen(k, _keys, mask) (require 1/4)))"
        3917 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5282:8: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call seekEntryOrOpen(k, _keys, mask) (require 2/4)))"
        3918 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5282:8: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call seekEntryOrOpen(k, _keys, mask) (require 3/4)))"
        3919 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:5282:8: lemmaInListMapThenSeekEntryOrOpenFindsIt (precond. (call seekEntryOrOpen(k, _keys, mask) (require 4/4)))"
        3920 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:300:9: lemmaInsertAndRemoveStrictlySortedCommutative (body assertion: Inlined precondition (1/2) of lemmaInsertAndRemoveStrictlySortedCommutative)
        3921 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:300:9: lemmaInsertAndRemoveStrictlySortedCommutative (body assertion: Inlined precondition (2/2) of lemmaInsertAndRemoveStrictlySortedCommutative)
        3922 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:300:9: lemmaInsertAndRemoveStrictlySortedCommutative (measure decreases)
        3923 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:300:9: lemmaInsertAndRemoveStrictlySortedCommutative (postcondition)
        3924 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:300:9: lemmaInsertAndRemoveStrictlySortedCommutative (precond. (call lemmaInsertAndRemoveStrictlySortedCom... (require 1/2)))
        3925 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:300:9: lemmaInsertAndRemoveStrictlySortedCommutative (precond. (call lemmaInsertAndRemoveStrictlySortedCom... (require 2/2)))
        3926 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:302:17: lemmaInsertAndRemoveStrictlySortedCommutative (postcondition)
        3927 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:306:5: lemmaInsertAndRemoveStrictlySortedCommutative (precond. (call insertStrictlySorted[B](removeStrictl...))
        3928 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:306:5: lemmaInsertAndRemoveStrictlySortedCommutative (precond. (call insertStrictlySorted[B](removeStrictl...))
        3929 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:307:7: lemmaInsertAndRemoveStrictlySortedCommutative (precond. (call removeStrictlySorted[B](l, key2)))"
        3930 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:307:7: lemmaInsertAndRemoveStrictlySortedCommutative (precond. (call removeStrictlySorted[B](l, key2)))"
        3931 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:310:10: lemmaInsertAndRemoveStrictlySortedCommutative (precond. (call removeStrictlySorted[B](insertStrictl...))
        3932 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:310:10: lemmaInsertAndRemoveStrictlySortedCommutative (precond. (call removeStrictlySorted[B](insertStrictl...))
        3933 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:311:7: lemmaInsertAndRemoveStrictlySortedCommutative (precond. (call insertStrictlySorted[B](l, key1, v1)))"
        3934 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:311:7: lemmaInsertAndRemoveStrictlySortedCommutative (precond. (call insertStrictlySorted[B](l, key1, v1)))"
        3935 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:311:28: lemmaInsertAndRemoveStrictlySortedCommutative (non-negative measure)
        3936 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:351:9: lemmaInsertStrictlySortedCommutative (body assertion: Inlined precondition (1/2) of lemmaInsertStrictlySortedCommutative)
        3937 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:351:9: lemmaInsertStrictlySortedCommutative (body assertion: Inlined precondition (2/2) of lemmaInsertStrictlySortedCommutative)
        3938 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:351:9: lemmaInsertStrictlySortedCommutative (measure decreases)
        3939 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:351:9: lemmaInsertStrictlySortedCommutative (postcondition)
        3940 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:351:9: lemmaInsertStrictlySortedCommutative (precond. (call lemmaInsertStrictlySortedCommutative[... (require 1/2)))
        3941 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:351:9: lemmaInsertStrictlySortedCommutative (precond. (call lemmaInsertStrictlySortedCommutative[... (require 2/2)))
        3942 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:353:17: lemmaInsertStrictlySortedCommutative (postcondition)
        3943 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:357:5: lemmaInsertStrictlySortedCommutative (precond. (call insertStrictlySorted[B](insertStrictl...))
        3944 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:357:5: lemmaInsertStrictlySortedCommutative (precond. (call insertStrictlySorted[B](insertStrictl...))
        3945 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:358:7: lemmaInsertStrictlySortedCommutative (precond. (call insertStrictlySorted[B](l, key1, v1)))"
        3946 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:358:7: lemmaInsertStrictlySortedCommutative (precond. (call insertStrictlySorted[B](l, key1, v1)))"
        3947 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:361:10: lemmaInsertStrictlySortedCommutative (precond. (call insertStrictlySorted[B](insertStrictl...))
        3948 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:361:10: lemmaInsertStrictlySortedCommutative (precond. (call insertStrictlySorted[B](insertStrictl...))
        3949 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:362:7: lemmaInsertStrictlySortedCommutative (precond. (call insertStrictlySorted[B](l, key2, v2)))"
        3950 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:362:7: lemmaInsertStrictlySortedCommutative (precond. (call insertStrictlySorted[B](l, key2, v2)))"
        3951 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:362:28: lemmaInsertStrictlySortedCommutative (non-negative measure)
        3952 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:577:9: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (body assertion: Inlined precondition of lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues)
        3953 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:577:9: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (measure decreases)
        3954 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:577:9: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (postcondition)
        3955 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:577:9: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call lemmaInsertStrictlySortedDoesNotModif...))
        3956 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:583:17: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (postcondition)
        3957 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:587:5: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call containsKey[B](insertStrictlySorted[B...))
        3958 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:587:5: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call containsKey[B](insertStrictlySorted[B...))
        3959 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:588:7: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call insertStrictlySorted[B](l, newKey, ne...))"
        3960 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:588:7: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call insertStrictlySorted[B](l, newKey, ne...))"
        3961 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:590:10: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call containsKey[B](l, otherKey)))"
        3962 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:590:10: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call containsKey[B](l, otherKey)))"
        3963 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:591:7: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call getValueByKey[B](insertStrictlySorted...))
        3964 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:591:7: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call getValueByKey[B](insertStrictlySorted...))
        3965 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:592:9: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call insertStrictlySorted[B](l, newKey, ne...))"
        3966 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:592:9: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call insertStrictlySorted[B](l, newKey, ne...))"
        3967 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:594:12: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call getValueByKey[B](l, otherKey)))"
        3968 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:594:12: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (precond. (call getValueByKey[B](l, otherKey)))"
        3969 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:595:9: lemmaInsertStrictlySortedDoesNotModifyOtherKeyValues (non-negative measure)
        3970 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:631:33: lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained (precond. (call containsKey[B](l, otherKey)))"
        3971 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:636:9: lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained (body assertion: Inlined precondition of lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained)
        3972 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:636:9: lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained (measure decreases)
        3973 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:636:9: lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained (postcondition)
        3974 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:636:9: lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained (precond. (call lemmaInsertStrictlySortedDoesNotModif...))
        3975 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:642:17: lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained (postcondition)
        3976 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:644:14: lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained (precond. (call containsKey[B](insertStrictlySorted[B...))
        3977 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:644:14: lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained (precond. (call containsKey[B](insertStrictlySorted[B...))
        3978 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:644:31: lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained (precond. (call insertStrictlySorted[B](l, newKey, ne...))"
        3979 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:644:31: lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained (precond. (call insertStrictlySorted[B](l, newKey, ne...))"
        3980 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:644:52: lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained (non-negative measure)
        3981 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:608:34: lemmaInsertStrictlySortedDoesNotModifyOtherKeysNotContained (precond. (call containsKey[B](l, otherKey)))"
